id,Parameter1,Parameter2,bnf,type
1,yarn.client.failover-max-attempts,yarn.client.failover-sleep-max-ms,yarn.client.failover-max-attempts > 1 => yarn.client.failover-sleep-max-ms > yarn.client.failover-sleep-base-ms,behavior
2,yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds,yarn.nodemanager.log-aggregation.retain-seconds,yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds > 0 => yarn.nodemanager.log-aggregation.retain-seconds > 0,behavior
3,yarn.timeline-service.client.max-retries,yarn.timeline-service.client.retry-interval-ms,yarn.timeline-service.client.max-retries > 1 => yarn.timeline-service.client.retry-interval-ms > 0,behavior
4,yarn.resourcemanager.delegation-token-renewer.thread-count,yarn.resourcemanager.delegation-token.renew-interval,yarn.resourcemanager.delegation-token-renewer.thread-count > 1 => yarn.resourcemanager.delegation-token.renew-interval < yarn.resourcemanager.delegation-token.max-lifetime / 2,behavior
5,yarn.nodemanager.container-monitor.interval-ms,yarn.nodemanager.health-checker.interval-ms,yarn.nodemanager.container-monitor.interval-ms = <valueExpression> => yarn.nodemanager.health-checker.interval-ms = <valueExpression>,behavior
6,yarn.resourcemanager.bind-host,yarn.resourcemanager.address,yarn.resourcemanager.bind-host != null => yarn.resourcemanager.address = ANY,behavior
7,yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size,yarn.resourcemanager.system-metrics-publisher.buffer.size,yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size > {{default}} => yarn.resourcemanager.system-metrics-publisher.buffer.size > {{default}},behavior
8,yarn.nodemanager.webapp.https.address,yarn.nodemanager.webapp.https.keytab,yarn.nodemanager.webapp.https.address != null => yarn.nodemanager.webapp.https.keytab != null,behavior
9,yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms,yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage,yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage = true => yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms in {{1000..10000}},behavior
10,yarn.nodemanager.recovery.dir,yarn.nodemanager.recovery.supervised,yarn.nodemanager.recovery.supervised = true => yarn.nodemanager.recovery.dir != null,behavior
