id,Parameter1,Parameter2,
1,use_default_quota_class,quota_backup_gigabytes
2,storage_protocol,target_helper
3,volume_backend_name,volume_driver
4,backend_availability_zone,allow_availability_zone_fallback
5,backup_swift_project,backup_swift_retry_backoff
6,glance_num_retries,verify_glance_signatures
7,iscsi_write_cache,target_helper
8,enabled,scheduler_driver
9,enable_unsupported_driver,driver_use_ssl
10,backup_swift_user,backup_swift_project
11,target_protocol,target_port
12,use_chap_auth,chap_username
13,backup_swift_auth_version,backup_swift_key
14,nas_share_path,nas_volume_prov_type
15,backup_gcs_writer_chunk_size,backup_gcs_reader_chunk_size
16,nas_private_key,nas_password
17,backup_mount_attempts,backup_mount_options
18,backend_native_threads_pool_size,backup_native_threads_pool_size
19,volume_driver,use_chap_auth
20,backup_compression_algorithm,backup_driver
21,backup_swift_ca_cert_file,backup_swift_user
22,backup_swift_retry_attempts,backup_swift_url
23,scheduler_driver,scheduler_max_attempts
24,auth_section,auth_uri
25,enabled,backup_api_class
26,backup_swift_key,backup_swift_container
27,volume_driver,volume_clear
28,scheduler_default_weighers,scheduler_weight_handler
29,glance_num_retries,backup_gcs_num_retries
30,default_volume_type,volume_manager
31,backend_native_threads_pool_size,backup_native_threads_pool_size
32,backend_availability_zone,storage_availability_zone
33,auth_strategy,auth_uri
34,backup_swift_project_domain,backup_swift_user_domain
35,backup_swift_user,backup_swift_tenant
36,quota_backup_gigabytes,quota_backups
37,glance_certfile,glance_api_insecure
38,es_scroll_size,es_scroll_time
39,volume_copy_bps_limit,volume_clear_size
40,osapi_volume_extension,osapi_volume_ext_list
41,scheduler_driver,scheduler_driver_init_wait_time
42,target_helper,target_ip_address
43,target_prefix,iser_target_prefix
44,backup_swift_retry_attempts,backup_swift_retry_backoff
45,backup_gcs_block_size,backup_gcs_reader_chunk_size
46,backup_swift_user,backup_swift_project_domain
47,backup_swift_retry_attempts,backup_swift_retry_backoff
48,backup_swift_project,backup_swift_auth_url
49,auth_type,auth_strategy
50,backup_gcs_object_size,backup_gcs_block_size
51,volume_driver,storage_protocol
52,enabled,enabled_backends
53,per_volume_size_limit,quota_volumes
54,backup_manager,backup_workers
55,quota_backups,backup_driver
56,image_upload_use_cinder_backend,enabled_backends
57,backup_manager,backup_compression_algorithm
58,backup_swift_project,backup_swift_user_domain
59,zoning_mode,storage_protocol
60,auth_strategy,certfile
61,nas_host,nas_login
62,use_default_quota_class,until_refresh
63,volume_driver,volumes_dir
64,backup_swift_project,backup_swift_block_size
65,glance_certfile,glance_keyfile
66,nas_host,nas_password
67,volume_driver,volume_api_class
68,backup_file_size,backup_sha_block_size_bytes
