id,Parameter1,Parameter2
1,adl.feature.ownerandgroup.enableupn,hadoop.security.authentication
2,hadoop.security.sensitive-config-keys,hadoop.security.auth_to_local
3,zookeeper.recovery.retry.maxsleeptime,zookeeper.recovery.retry
4,hadoop.security.group.mapping.ldap.search.attr.member,hadoop.security.group.mapping
5,hadoop.tmp.dir,io.tmp.dir
6,hadoop.ssl.hostname.verifier,hadoop.ssl.server.conf
7,hadoop.security.group.mapping.ldap.posix.attr.gid.name,hadoop.security.group.mapping.ldap.ssl
8,ha.zookeeper.quorum,ha.zookeeper.acl
9,hadoop.security.group.mapping,hadoop.security.group.mapping.ldap.ssl.keystore
10,fs.azure.secure.mode,hadoop.security.authorization
11,ipc.client.rpc-timeout.ms,ha.health-monitor.rpc-timeout.ms
12,hadoop.http.cross-origin.allowed-origins,hadoop.http.cross-origin.allowed-methods
13,hadoop.security.impersonation.provider.class,hadoop.security.group.mapping
14,hadoop.ssl.require.client.cert,hadoop.ssl.enabled
15,hadoop.security.dns.nameserver,hadoop.security.dns.log-slow-lookups.enabled
16,ipc.server.listen.queue.size,max_connections
17,hadoop.http.authentication.token.validity,hadoop.http.authentication.signature.secret.file
18,adl.feature.ownerandgroup.enableupn,hadoop.security.authorization
19,hadoop.security.group.mapping.ldap.url,hadoop.security.group.mapping.ldap.ssl
20,zookeeper.recovery.retry.maxsleeptime,zookeeper.session.timeout
21,hadoop.security.group.mapping.ldap.connection.timeout.ms,hadoop.security.group.mapping.ldap.ssl
22,fs.s3.awsSecretAccessKey,fs.s3a.secret.key
23,hadoop.user.group.static.mapping.overrides,hadoop.security.authentication
24,zookeeper.session.timeout,hbase.client.operation.timeout
25,zookeeper.session.timeout,zookeeper.recovery.retry.maxsleeptime
26,ipc.client.rpc-timeout.ms,ha.failover-controller.new-active.rpc-timeout.ms
27,zookeeper.znode.parent,hbase.zookeeper.property.clientPort
28,fs.s3a.connection.establish.timeout,fs.s3a.connection.timeout
29,fs.s3a.proxy.domain,fs.s3a.proxy.port
30,hadoop.security.group.mapping.ldap.posix.attr.gid.name,hadoop.security.group.mapping.ldap.url
