id,Parameter1,Parameter2
1,image_volume_cache_max_count,image_volume_cache_max_size_gb
2,backup_service_inithost_offload,volume_service_inithost_offload
3,enabled,scheduler_manager
4,glance_api_servers,glance_num_retries
5,backup_swift_project,backup_swift_url
6,iser_helper,target_helper
7,use_multipath_for_image_xfer,enforce_multipath_for_image_xfer
8,target_helper,use_chap_auth
9,backup_swift_auth,backup_swift_container
10,backup_swift_ca_cert_file,backup_swift_auth_version
11,default_volume_type,volume_driver
12,backup_swift_user,backup_swift_user_domain
13,backup_swift_project_domain,backup_swift_user_domain
14,backup_swift_user,backup_swift_key
15,glance_num_retries,verify_glance_signatures
16,backup_manager,backup_driver_init_check_interval
17,volume_driver,storage_protocol
18,backup_swift_url,backup_driver
19,quota_backups,backup_api_class
20,backup_gcs_num_retries,backup_gcs_retry_error_codes
21,backup_swift_project,backup_swift_container
22,backup_manager,backup_workers
23,backend_availability_zone,default_availability_zone
24,tcp_keepalive_interval,tcp_keepalive_count
25,compute_api_class,consistencygroup_api_class
26,default_volume_type,volume_backend_name
27,backup_swift_block_size,backup_sha_block_size_bytes
28,enabled,volume_manager
29,compute_api_class,transfer_api_class
30,scheduler_manager,scheduler_default_weighers
31,scheduler_manager,scheduler_driver
32,volume_clear,volume_clear_ionice
33,quota_groups,quota_volumes
34,glance_catalog_info,glance_api_insecure
35,backup_swift_retry_attempts,backup_swift_auth_version
36,backup_manager,backup_driver
37,driver_client_cert,driver_client_cert_key
38,quota_gigabytes,quota_backups
39,quota_gigabytes,quota_backup_gigabytes
40,collect-timing,log_interval
41,backend_availability_zone,allow_availability_zone_fallback
42,extra_capabilities,volume_api_class
43,num_shell_tries,num_volume_device_scan_tries
44,backup_swift_retry_attempts,backup_swift_retry_backoff
45,storage_protocol,target_protocol
46,nas_login,nas_password
47,backup_swift_user,backup_swift_tenant
48,nas_private_key,nas_login
49,swift_catalog_info,glance_catalog_info
50,keystone_catalog_info,swift_catalog_info
51,backup_compression_algorithm,backup_driver
52,backup_gcs_project_id,backup_gcs_reader_chunk_size
53,auth_strategy,max_request_body_size
54,backup_swift_project,backup_swift_auth_version
55,nas_private_key,nas_password
56,backup_gcs_project_id,backup_gcs_credential_file
57,insecure,suppress_requests_ssl_warnings
58,backup_swift_project,backup_swift_tenant
59,backup_swift_retry_attempts,backup_swift_retry_backoff
60,quota_backups,backup_driver
61,backup_gcs_project_id,backup_gcs_bucket
62,nas_login,nas_private_key
63,driver_use_ssl,driver_client_cert_key
64,quota_backups,quota_driver
65,enabled_backends,volume_backend_name
66,insecure,nas_secure_file_permissions
67,extra_capabilities,storage_protocol
68,allow_availability_zone_fallback,scheduler_default_filters
69,image_upload_use_cinder_backend,enabled_backends
70,auth_strategy,identity_uri
71,volume_manager,volume_driver
72,backup_mount_attempts,backup_mount_point_base
73,enabled,compute_api_class
74,tcp_keepalive,tcp_keepalive_interval
75,backup_swift_project,backup_swift_key
76,enabled,backup_api_class
77,reservation_expire,until_refresh
