id,Parameter1,Parameter2
1,debug,verbose
2,image_cache_driver,image_cache_dir
3,workers,
4,swift_store_large_object_size,swift_store_large_object_chunk_size
5,enabled_backends,swift_store_key
6,image_cache_driver,image_cache_size
7,auth_version,project_domain_name
8,vmware_datastores,vmware_server_password
9,cinder_store_auth_address,cinder_store_project_name
10,auth_version,swift_store_multiple_containers_seed
11,image_cache_max_size,image_cache_duration
12,auth_version,swift_store_ssl_compression
13,s3_store_secret_key,s3_store_host
14,image_size_cap,image_size_total
15,filesystem_store_datadirs,filesystem_store_file_perm
16,auth_version,swift_store_auth_version
17,enabled,log_dir
18,auth_version,swift_store_endpoint_type
19,vmware_server_username,vmware_server_password
20,log-config,log_use_syslog
21,image_cache_driver,image_cache_dir
22,cinder_store_user_name,cinder_store_user_domain_name
23,rbd_store_pool,rbd_store_user
24,swift_store_endpoint_type,swift_store_endpoint
25,filesystem_store_datadirs,filesystem_store_metadata_file
26,auth_version,swift_store_service_type
27,auth_version,swift_store_auth_insecure
28,cinder_store_project_name,cinder_store_password
29,swift_store_config_file,swift_store_container
30,auth_version,swift_store_cacert
31,task_executor,
32,log-config,log_file
33,enabled_backends,swift_store_user
34,debug,log_file
35,s3_store_large_object_size,s3_store_large_object_chunk_size
