id,Parameter1,Parameter2
1,cinder_store_project_name,cinder_store_user_name
2,cinder_store_user_name,cinder_store_user_domain_name
3,cinder_store_auth_address,cinder_store_user_domain_name
4,debug,verbose
5,debug,verbose
6,auth_address,swift_store_auth_address
7,debug,trace_sqlalchemy
8,auth_version,swift_store_large_object_size
9,s3_store_secret_key,s3_store_protocol
10,auth_version,swift_store_auth_version
11,enabled_backends,swift_store_container
12,auth_version,swift_store_config_file
13,auth_version,swift_store_container
14,vmware_api_insecure,swift_store_auth_insecure
15,vmware_api_insecure,vmware_server_host
16,cinder_store_password,cinder_store_user_domain_name
17,enabled,debug
18,swift_store_endpoint_type,swift_store_auth_insecure
19,auth_version,swift_store_large_object_chunk_size
20,swift_store_key,swift_store_auth_address
21,enabled_backends,s3_store_host
22,auth_version,swift_store_multi_tenant
23,image_cache_driver,image_cache_dir
24,filesystem_store_datadirs,filesystem_store_metadata_file
25,auth_version,swift_store_create_container_on_put
26,image_cache_driver,image_cache_size
27,cinder_store_auth_address,cinder_store_password
28,log_use_syslog,enabled_backends
29,enabled_backends,swift_store_key
30,vmware_server_username,vmware_server_password
31,swift_store_user,swift_store_auth_address
32,public_endpoint,bind_port
33,verbose,debug
34,swift_store_multi_tenant,swift_store_multiple_containers_seed
35,swift_store_multiple_containers_seed,swift_store_container
36,cinder_store_project_name,cinder_store_auth_address
37,image_cache_driver,image_cache_sqlite_db
38,enabled_backends,vmware_server_host
39,debug,log_dir
40,auth_version,swift_store_admin_tenants
41,log-config,
42,vmware_datastores,r_password
43,vmware_server_username,vmware_server_password
44,vmware_server_username,vmware_server_password
45,rbd_store_pool,rbd_store_user
46,image_cache_driver,image_cache_dir
47,filesystem_store_chunk_size,filesystem_store_file_perm
48,rbd_store_chunk_size,rbd_pool
49,cinder_store_auth_address,cinder_store_user_name
