id,Parameter1,Parameter2
1,cinder_store_project_name,cinder_store_user_domain_name
2,enabled,debug
3,cinder_store_user_name,cinder_store_user_domain_name
4,cinder_api_insecure,cinder_ca_certificates_file
5,enabled_backends,swift_store_key
6,swift_store_config_file,swift_store_auth_version
7,task_executor,
8,auth_version,default_swift_reference
9,debug,verbose
10,auth_version,swift_store_create_container_on_put
11,vmware_datastores,vmware_server_password
12,s3_store_access_key,s3_store_host
13,s3_store_large_object_size,s3_store_large_object_chunk_size
14,vmware_server_username,vmware_server_password
15,vmware_api_insecure,cinder_api_insecure
16,auth_address,swift_store_auth_address
17,s3_store_large_object_size,s3_store_large_object_chunk_size
18,enabled_backends,vmware_server_host
19,auth_version,swift_store_endpoint_type
20,vmware_datastores,r_password
21,filesystem_store_chunk_size,filesystem_store_datadir
22,auth_version,swift_store_large_object_size
23,image_cache_max_size,image_cache_stall_time
24,log_use_syslog,enabled_backends
25,public_endpoint,bind_port
26,swift_store_endpoint_type,swift_store_cacert
27,workers,
28,rbd_store_pool,rbd_store_user
29,auth_version,swift_store_user
30,image_cache_driver,image_cache_max_size
31,rbd_store_chunk_size,rbd_user
32,rbd_store_pool,rbd_store_ceph_conf
33,debug,trace_sqlalchemy
