id,Parameter1,Parameter2
1,vmware_api_insecure,swift_store_auth_insecure
2,auth_version,project_domain_name
3,s3_store_large_object_chunk_size,s3_store_large_object_threshold
4,filesystem_store_datadir,filesystem_store_datadirs
5,vmware_server_username,vmware_server_password
6,vmware_datastores,vmware_server_password
7,swift_store_key,swift_store_auth_address
8,cinder_store_project_name,cinder_store_user_domain_name
9,filesystem_store_datadirs,filesystem_store_file_perm
10,cinder_api_insecure,cinder_ca_certificates_file
11,enabled,public_endpoint
12,auth_version,swift_store_config_file
13,auth_version,swift_store_large_object_size
14,swift_store_multi_tenant,swift_store_container
15,s3_store_access_key,s3_store_secret_key
16,swift_store_multi_tenant,swift_store_multiple_containers_seed
17,image_cache_dir,image_cache_sqlite_db
18,log-config,log_file
19,cinder_store_auth_address,cinder_store_password
20,image_size_cap,default_store
21,s3_store_secret_key,s3_store_host
22,filesystem_store_chunk_size,filesystem_store_datadir
23,auth_version,swift_store_multi_tenant
24,vmware_server_username,vmware_server_password
25,cinder_store_user_name,cinder_store_auth_address
26,public_endpoint,http_keepalive
27,verbose,log-config
28,swift_store_endpoint_type,swift_store_ssl_compression
29,s3_store_secret_key,s3_store_bucket
30,image_cache_max_size,image_cache_duration
31,vmware_api_insecure,vmware_server_host
32,cinder_store_user_name,cinder_store_password
33,log_dir,log_file
34,image_cache_driver,image_cache_max_size
35,image_size_cap,image_size_total
36,enabled_backends,vmware_server_host
37,auth_address,swift_store_auth_address
