x,y_random,y_max
1,221651.7384439477,221651.7384439477
2,226699.11,226699.11
3,189601.90690231867,226699.11
4,226699.11,226699.11
5,214523.10157680872,226699.11
6,164032.6655436127,226699.11
7,191625.67219908006,226699.11
8,218137.01903588674,226699.11
9,226699.11,226699.11
10,226699.11,226699.11
11,211370.4789264321,226699.11
12,176253.3181911739,226699.11
13,176399.86893171593,226699.11
14,226699.11,226699.11
15,167415.88020446393,226699.11
16,195672.65793873667,226699.11
17,220594.01253369218,226699.11
18,185516.8165381932,226699.11
19,211517.76980444381,226699.11
20,215599.19347784016,226699.11
21,226699.11,226699.11
22,223221.56627466762,226699.11
23,197131.3839274939,226699.11
24,226699.11,226699.11
25,206467.66687467322,226699.11
26,170618.12922137947,226699.11
27,200483.53612259726,226699.11
28,197127.2226058101,226699.11
29,226699.11,226699.11
30,163238.91697049624,226699.11
31,226699.11,226699.11
32,192126.66948816882,226699.11
33,164558.79538871738,226699.11
34,226699.11,226699.11
35,164202.21878529256,226699.11
36,223881.5068793849,226699.11
37,189904.3690776501,226699.11
38,202249.053134811,226699.11
39,226699.11,226699.11
40,163995.1167696869,226699.11
41,226699.11,226699.11
42,226699.11,226699.11
43,163589.71075035215,226699.11
44,226699.11,226699.11
45,226699.11,226699.11
46,200537.77241620678,226699.11
47,225005.6893325543,226699.11
48,185350.07561597315,226699.11
49,156659.14839245248,226699.11
50,187838.5531700581,226699.11
51,191229.4444627437,226699.11
52,186246.1262150103,226699.11
53,205255.86413709342,226699.11
54,226699.11,226699.11
55,226699.11,226699.11
56,217798.88461151373,226699.11
57,225803.3824891069,226699.11
58,186302.99961731696,226699.11
59,222578.06972474558,226699.11
60,163555.95924805535,226699.11
61,226699.11,226699.11
62,226699.11,226699.11
63,193252.12488605373,226699.11
64,221001.63395809784,226699.11
65,169831.5176717098,226699.11
66,226699.11,226699.11
67,226699.11,226699.11
68,226699.11,226699.11
69,226699.11,226699.11
70,179923.81321386516,226699.11
71,207564.51486925394,226699.11
72,226699.11,226699.11
73,189031.4475207287,226699.11
74,226699.11,226699.11
75,156910.4502367957,226699.11
76,177717.47375219947,226699.11
77,217824.44265979464,226699.11
78,226699.11,226699.11
79,226699.11,226699.11
80,192537.8216611876,226699.11
81,191839.17890155985,226699.11
82,194205.86963112344,226699.11
83,166863.79573738787,226699.11
84,191832.74601668096,226699.11
85,173924.2571879035,226699.11
86,215391.8649472756,226699.11
87,184971.7355038462,226699.11
88,164415.66802953833,226699.11
89,188162.29187190323,226699.11
90,213063.3400753132,226699.11
91,158458.6539034685,226699.11
92,154367.07387401248,226699.11
93,224707.57714070406,226699.11
94,161613.95914479886,226699.11
95,226699.11,226699.11
96,193203.08756057112,226699.11
97,183904.19507128198,226699.11
98,162954.89735423494,226699.11
99,210456.7598843567,226699.11
100,198831.04417053575,226699.11
101,226699.11,226699.11
102,226699.11,226699.11
103,169478.84118634602,226699.11
104,173877.96162879423,226699.11
105,171194.43323484535,226699.11
106,226699.11,226699.11
107,159933.4405250561,226699.11
108,207837.23648579908,226699.11
109,186155.45804455943,226699.11
110,224127.4300589977,226699.11
111,226699.11,226699.11
112,228989.0,228989.0
113,175311.0299168905,228989.0
114,163220.30647720856,228989.0
115,226699.11,228989.0
116,226699.11,228989.0
117,216866.6128577941,228989.0
118,162855.93985272432,228989.0
119,205277.06144478213,228989.0
120,226699.11,228989.0
