id,Parameter1,Parameter2,bnf,type
1,yarn.log-aggregation-enable,yarn.log-aggregation.retain-check-interval-seconds,yarn.log-aggregation-enable = true => yarn.log-aggregation.retain-check-interval-seconds > 0,behavior
2,yarn.nodemanager.vmem-pmem-ratio,yarn.nodemanager.resource.memory-mb,yarn.nodemanager.vmem-pmem-ratio > 1 => yarn.nodemanager.resource.memory-mb > 0,behavior
3,yarn.timeline-service.ttl-ms,yarn.timeline-service.leveldb.ttl-interval-ms,yarn.timeline-service.ttl-ms > 0 => yarn.timeline-service.leveldb.ttl-interval-ms < yarn.timeline-service.ttl-ms,behavior
4,yarn.resourcemanager.scheduler.monitor.enable,yarn.resourcemanager.monitor.capacity.preemption.monitoring_interval,yarn.resourcemanager.scheduler.monitor.enable = true => yarn.resourcemanager.monitor.capacity.preemption.monitoring_interval > 0,behavior
5,yarn.federation.subcluster-resolver.class,yarn.federation.state-store.class,yarn.federation.subcluster-resolver.class = org.apache.hadoop.yarn.server.federation.resolver.defaultSubClusterResolverImpl => yarn.federation.state-store.class = org.apache.hadoop.yarn.server.federation.store.impl.MemoryFederationStateStore,behavior
6,yarn.nodemanager.resourcemanager.minimum.version,yarn.resourcemanager.work-preserving-recovery.enabled,yarn.nodemanager.resourcemanager.minimum.version > 2.4.0 => yarn.resourcemanager.work-preserving-recovery.enabled = true,behavior
7,yarn.resourcemanager.proxy-user-privileges.enabled,hadoop.proxyuser.<user>.groups,yarn.resourcemanager.proxy-user-privileges.enabled = true => hadoop.proxyuser.<user>.groups != null,behavior
8,yarn.sharedcache.admin.address,yarn.sharedcache.cleanup.interval-ms,yarn.sharedcache.admin.address != null => yarn.sharedcache.cleanup.interval-ms > 0,behavior
9,yarn.nodemanager.recovery.dir,yarn.nodemanager.remote-app-log-dir,yarn.nodemanager.recovery.dir != null => yarn.nodemanager.remote-app-log-dir != null,behavior
10,yarn.timeline-service.leveldb-timeline-store.path,yarn.timeline-service.leveldb-timeline-store.read-cache-size,yarn.timeline-service.leveldb-timeline-store.path != null => yarn.timeline-service.leveldb-timeline-store.read-cache-size > 0,behavior
11,yarn.web-proxy.principal,yarn.web-proxy.keytab,yarn.web-proxy.principal != null => yarn.web-proxy.keytab != null,behavior
12,yarn.client.failover-retries-on-socket-timeouts,yarn.client.socket-timeout-ms,yarn.client.failover-retries-on-socket-timeouts > 0 => yarn.client.socket-timeout-ms > 0,behavior
13,yarn.log-aggregation.file-controller.TFile.class,yarn.log-aggregation.retain-seconds,yarn.log-aggregation.file-controller.TFile.class != null => yarn.log-aggregation.retain-seconds > 0,behavior
14,yarn.timeline-service.webapp.https.address,yarn.timeline-service.keytab,yarn.timeline-service.keytab != null => yarn.timeline-service.webapp.https.address != null,behavior
15,yarn.log-aggregation-enable,yarn.log-aggregation.retain-seconds,yarn.log-aggregation-enable = true => yarn.log-aggregation.retain-seconds > 0,behavior
16,yarn.timeline-service.version,yarn.timeline-service.webapp.https.address,yarn.timeline-service.version = 2 => yarn.timeline-service.webapp.https.address = ${yarn.timeline-service.hostname}:8190,behavior
17,yarn.resourcemanager.container.liveness-monitor.interval-ms,yarn.nodemanager.container-monitor.interval-ms,yarn.resourcemanager.container.liveness-monitor.interval-ms > yarn.nodemanager.container-monitor.interval-ms => yarn.resourcemanager.container.liveness-monitor.interval-ms > yarn.nodemanager.container-monitor.interval-ms,behavior
18,yarn.timeline-service.bind-host,yarn.timeline-service.http-cross-origin.enabled,yarn.timeline-service.bind-host = ANY => yarn.timeline-service.http-cross-origin.enabled = ANY,behavior
19,yarn.nodemanager.resourcemanager.connect.max-wait.ms,yarn.resourcemanager.connect.max-wait.ms,yarn.nodemanager.resourcemanager.connect.max-wait.ms > 0 => yarn.resourcemanager.connect.max-wait.ms >= yarn.nodemanager.resourcemanager.connect.max-wait.ms,behavior
