id,Parameter1,Parameter2,bnf,type
1,io.compression.codec.bzip2.library,mapreduce.map.output.compress.codec,mapreduce.map.output.compress.codec = 'org.apache.hadoop.io.compress.BZip2Codec' => io.compression.codec.bzip2.library != null,behavior
2,nfs.keytab.file,nfs.kerberos.principal,nfs.keytab.file != null => nfs.kerberos.principal != null,behavior
3,fs.adl.oauth2.access.token.provider,fs.adl.oauth2.credential,fs.adl.oauth2.access.token.provider != null => fs.adl.oauth2.credential != null,behavior
4,hadoop.security.kms.client.encrypted.key.cache.low-watermark,hadoop.security.kms.client.encrypted.key.cache.num.refill.threads,hadoop.security.kms.client.encrypted.key.cache.low-watermark < 0.3 => hadoop.security.kms.client.encrypted.key.cache.num.refill.threads = 2,behavior
5,ssl.server.keystore.location,ssl.server.keystore.type,ssl.server.keystore.location != null => ssl.server.keystore.type = ANY,behavior
6,ssl.server.truststore.location,ssl.client.truststore.location,ssl.server.truststore.location != null => ssl.client.truststore.location != null,behavior
7,zookeeper.znode.parent,hbase.zookeeper.session.timeout,"<Dependency> ::= <Variable> != ""null"" => <ConstraintItem> <Variable> = ""ANY""",behavior
8,hfile.block.index.cacheonwrite,hfile.block.cache.size,hfile.block.index.cacheonwrite = true => hfile.block.cache.size > [default..ANY],behavior
9,hadoop.security.crypto.jce.provider,hadoop.security.crypto.codec.classes.aes.ctr.nopadding,hadoop.security.crypto.jce.provider != null => hadoop.security.crypto.codec.classes.aes.ctr.nopadding != null,behavior
10,ipc.client.idlethreshold,ipc.client.connection.maxlifetime,ipc.client.idlethreshold > 0 => ipc.client.connection.maxlifetime > ipc.client.idlethreshold * 2,behavior
11,fs.adl.oauth2.client.id,fs.adl.oauth2.credential,fs.adl.oauth2.client.id != null => fs.adl.oauth2.credential != null,behavior
12,seq.io.sort.factor,io.sort.mb,seq.io.sort.factor > default => io.sort.mb > default,behavior
13,hadoop.security.groups.cache.secs,hadoop.security.groups.cache.background.reload.threads,hadoop.security.groups.cache.secs > 0 => hadoop.security.groups.cache.background.reload.threads > 1,behavior
