id,filepath,controlflow_type,cf_start_lineno,cf_end_lineno,var1_lineno,var2_lineno,var1,localvar1,var2,localvar2,relation
1,apps/glance/glance/api/common.py,,,,112,112,user,CONF.user_storage_quota,user_storage_quota,CONF.user_storage_quota,same_line
2,apps/glance/glance/api/common.py,,,,112,112,user,CONF.user_storage_quota,user_storage_quota,get_remaining_quota.CONF.user_storage_quota,same_line
3,apps/glance/glance/api/common.py,,,,112,112,user,get_remaining_quota.CONF.user_storage_quota,user_storage_quota,CONF.user_storage_quota,same_line
4,apps/glance/glance/api/common.py,,,,112,112,user,get_remaining_quota.CONF.user_storage_quota,user_storage_quota,get_remaining_quota.CONF.user_storage_quota,same_line
5,apps/glance/glance/api/common.py,,,,117,117,user,get_remaining_quota.users_quota,user_storage_quota,get_remaining_quota.users_quota,same_line
6,apps/glance/glance/api/common.py,,,,117,117,user,get_remaining_quota.users_quota,user_storage_quota,get_remaining_quota.users_quota,same_line
7,apps/glance/glance/api/middleware/version_negotiation.py,,,,89,89,enabled,CONF.enabled_backends,enabled_backends,CONF.enabled_backends,same_line
8,apps/glance/glance/api/middleware/version_negotiation.py,If,89,94,89,89,enabled,CONF.enabled_backends,enabled_backends,CONF.enabled_backends,same_controlflow
9,apps/glance/glance/api/v2/cached_images.py,If,65,69,69,65,debug,LOG.debug,image_cache_dir,CONF.image_cache_dir,same_controlflow
10,apps/glance/glance/api/v2/discovery.py,,,,56,56,enabled,CONF.enabled_backends,enabled_backends,CONF.enabled_backends,same_line
11,apps/glance/glance/api/v2/discovery.py,,,,56,56,enabled,CONF.enabled_backends,enabled_backends,get_stores.CONF.enabled_backends,same_line
12,apps/glance/glance/api/v2/discovery.py,,,,56,56,enabled,get_stores.CONF.enabled_backends,enabled_backends,CONF.enabled_backends,same_line
13,apps/glance/glance/api/v2/discovery.py,,,,56,56,enabled,get_stores.CONF.enabled_backends,enabled_backends,get_stores.CONF.enabled_backends,same_line
14,apps/glance/glance/api/v2/discovery.py,,,,71,71,enabled,get_stores.enabled_backends,enabled_backends,get_stores.enabled_backends,same_line
15,apps/glance/glance/api/v2/discovery.py,,,,71,71,enabled,get_stores.enabled_backends,enabled_backends,get_stores.enabled_backends,same_line
16,apps/glance/glance/api/v2/discovery.py,,,,71,71,enabled,get_stores.enabled_backends,enabled_backends,get_stores.enabled_backends,same_line
17,apps/glance/glance/api/v2/discovery.py,,,,71,71,enabled,get_stores.enabled_backends,enabled_backends,get_stores.enabled_backends,same_line
18,apps/glance/glance/api/v2/discovery.py,,,,166,166,enabled,CONF.enabled_backends,enabled_backends,CONF.enabled_backends,same_line
19,apps/glance/glance/api/v2/discovery.py,,,,166,166,enabled,CONF.enabled_backends,enabled_backends,get_stores_detail.CONF.enabled_backends,same_line
20,apps/glance/glance/api/v2/discovery.py,,,,166,166,enabled,get_stores_detail.CONF.enabled_backends,enabled_backends,CONF.enabled_backends,same_line
21,apps/glance/glance/api/v2/discovery.py,,,,166,166,enabled,get_stores_detail.CONF.enabled_backends,enabled_backends,get_stores_detail.CONF.enabled_backends,same_line
22,apps/glance/glance/api/v2/discovery.py,,,,183,183,enabled,get_stores_detail.enabled_backends,enabled_backends,get_stores_detail.enabled_backends,same_line
23,apps/glance/glance/api/v2/discovery.py,,,,183,183,enabled,get_stores_detail.enabled_backends,enabled_backends,get_stores_detail.enabled_backends,same_line
24,apps/glance/glance/api/v2/discovery.py,,,,183,183,enabled,get_stores_detail.enabled_backends,enabled_backends,get_stores_detail.enabled_backends,same_line
25,apps/glance/glance/api/v2/discovery.py,,,,183,183,enabled,get_stores_detail.enabled_backends,enabled_backends,get_stores_detail.enabled_backends,same_line
26,apps/glance/glance/api/v2/discovery.py,For,62,91,68,71,enabled,get_stores.enabled_backends,swift_store_config_file,get_stores.swift_store_config_file,same_controlflow
27,apps/glance/glance/api/v2/discovery.py,For,62,91,68,71,enabled,get_stores.enabled_backends,swift_store_config_file,swift_store_config_file,same_controlflow
28,apps/glance/glance/api/v2/discovery.py,For,62,91,69,68,swift_store_config_file,get_stores.swift_store_config_file,swift_store_multi_tenant,get_stores.swift_store_multi_tenant,same_controlflow
29,apps/glance/glance/api/v2/discovery.py,For,62,91,69,68,swift_store_config_file,get_stores.swift_store_config_file,swift_store_multi_tenant,swift_store_multi_tenant,same_controlflow
30,apps/glance/glance/api/v2/discovery.py,For,62,91,69,68,swift_store_config_file,swift_store_config_file,swift_store_multi_tenant,get_stores.swift_store_multi_tenant,same_controlflow
31,apps/glance/glance/api/v2/discovery.py,For,62,91,69,68,swift_store_config_file,swift_store_config_file,swift_store_multi_tenant,swift_store_multi_tenant,same_controlflow
32,apps/glance/glance/api/v2/discovery.py,For,62,91,69,71,enabled,get_stores.enabled_backends,swift_store_multi_tenant,get_stores.swift_store_multi_tenant,same_controlflow
33,apps/glance/glance/api/v2/discovery.py,For,62,91,69,71,enabled,get_stores.enabled_backends,swift_store_multi_tenant,swift_store_multi_tenant,same_controlflow
34,apps/glance/glance/api/v2/discovery.py,For,62,91,71,68,enabled_backends,get_stores.enabled_backends,swift_store_config_file,get_stores.swift_store_config_file,same_controlflow
35,apps/glance/glance/api/v2/discovery.py,For,62,91,71,68,enabled_backends,get_stores.enabled_backends,swift_store_config_file,swift_store_config_file,same_controlflow
36,apps/glance/glance/api/v2/discovery.py,For,62,91,71,69,enabled_backends,get_stores.enabled_backends,swift_store_multi_tenant,get_stores.swift_store_multi_tenant,same_controlflow
37,apps/glance/glance/api/v2/discovery.py,For,62,91,71,69,enabled_backends,get_stores.enabled_backends,swift_store_multi_tenant,swift_store_multi_tenant,same_controlflow
38,apps/glance/glance/api/v2/discovery.py,For,62,91,71,71,enabled,get_stores.enabled_backends,enabled_backends,get_stores.enabled_backends,same_controlflow
39,apps/glance/glance/api/v2/discovery.py,For,182,189,183,183,enabled,get_stores_detail.enabled_backends,enabled_backends,get_stores_detail.enabled_backends,same_controlflow
