x,y_random,y_max
1,241773.45059609626,241773.45059609626
2,195623.23163033387,241773.45059609626
3,247284.07254690205,247284.07254690205
4,241863.3698886449,247284.07254690205
5,244162.3793152402,247284.07254690205
6,192824.52538854603,247284.07254690205
7,262694.1666427776,262694.1666427776
8,192748.11002800125,262694.1666427776
9,246123.01477300606,262694.1666427776
10,256121.42989616084,262694.1666427776
11,156558.8058671741,262694.1666427776
12,153491.020388907,262694.1666427776
13,215814.71537007898,262694.1666427776
14,160918.54436869794,262694.1666427776
15,262882.62,262882.62
16,198783.0531335785,262882.62
17,189203.24279982108,262882.62
18,205238.14128836285,262882.62
19,252232.62181977904,262882.62
20,192372.85680727483,262882.62
21,176524.71781334857,262882.62
22,174904.63837681746,262882.62
23,179449.26777754474,262882.62
24,176376.97998708035,262882.62
25,180621.50361012173,262882.62
26,188655.84163769986,262882.62
27,213595.10640976243,262882.62
28,160947.67431375955,262882.62
29,156517.87619921475,262882.62
30,233182.8035139161,262882.62
31,261830.76201054745,262882.62
32,222444.10211619647,262882.62
33,230929.49991724425,262882.62
34,176810.07309735107,262882.62
35,252859.11947625084,262882.62
36,170013.80637905386,262882.62
37,210620.20518123114,262882.62
38,175742.83954956205,262882.62
39,193175.48378109772,262882.62
40,161729.76541825576,262882.62
41,165633.65852553278,262882.62
42,262882.62,262882.62
43,210970.27855726128,262882.62
44,230498.84676043142,262882.62
45,164382.00728922457,262882.62
46,225047.30919419177,262882.62
47,194909.80910240984,262882.62
48,153495.87598379608,262882.62
49,225916.04151791413,262882.62
50,163296.17170900325,262882.62
51,170007.1841723362,262882.62
52,265538.0,265538.0
53,184253.68307952833,265538.0
54,247787.54669138818,265538.0
55,259558.87784018356,265538.0
56,174314.02276407243,265538.0
57,201603.97065455554,265538.0
58,247008.91254497485,265538.0
59,174517.50042464116,265538.0
60,245891.5344959085,265538.0
61,161085.8423860916,265538.0
62,198004.57209299775,265538.0
63,262882.62,265538.0
64,253227.94080949438,265538.0
65,156153.64458428381,265538.0
66,187857.37871773646,265538.0
67,152646.85132808783,265538.0
68,159449.4669592039,265538.0
69,189766.3424581296,265538.0
70,157157.951397933,265538.0
71,262882.62,265538.0
72,217852.90878579638,265538.0
73,238469.38250536905,265538.0
74,253737.00047303535,265538.0
75,245675.1029447033,265538.0
76,183864.9168733862,265538.0
77,256317.1861144883,265538.0
78,189133.68151375392,265538.0
79,259270.81929245184,265538.0
80,203453.914491919,265538.0
81,217718.6286971956,265538.0
82,175272.96302192286,265538.0
83,251660.16853408195,265538.0
84,183032.83335435236,265538.0
85,211682.17133811474,265538.0
86,206310.6317483321,265538.0
87,210646.88275077305,265538.0
88,187697.73279418342,265538.0
89,249770.35678461427,265538.0
90,252898.99990646465,265538.0
91,244564.9240871959,265538.0
92,220570.19343681366,265538.0
93,162548.40100978693,265538.0
94,197995.07702944905,265538.0
95,160733.83739884483,265538.0
96,225809.52863333924,265538.0
97,191704.37200064806,265538.0
98,168085.34931916054,265538.0
99,186857.94696959763,265538.0
100,237472.86324458092,265538.0
101,231529.5255063622,265538.0
102,161666.1620486646,265538.0
103,247179.05553550165,265538.0
104,210215.76039996365,265538.0
105,213381.12221146916,265538.0
106,189140.83787552037,265538.0
107,160164.1543369432,265538.0
108,207337.87490173208,265538.0
109,184891.77491735487,265538.0
110,238198.23285276428,265538.0
111,241702.81830107572,265538.0
112,212070.85338989258,265538.0
113,253307.46431907022,265538.0
114,198893.4394288372,265538.0
115,221891.56486037376,265538.0
116,199985.53243622556,265538.0
117,254531.16898686666,265538.0
118,194142.12609966838,265538.0
119,169670.701845773,265538.0
120,197309.93086965458,265538.0
