x,y_random,y_max
1,151770.09964827166,151770.09964827166
2,173694.74817860418,173694.74817860418
3,203535.30325856607,203535.30325856607
4,186896.38851237885,203535.30325856607
5,238306.59816001586,238306.59816001586
6,240007.90526329988,240007.90526329988
7,223545.19788866962,240007.90526329988
8,197362.25768370382,240007.90526329988
9,212235.63453195177,240007.90526329988
10,195298.9835621198,240007.90526329988
11,254068.13992171333,254068.13992171333
12,191122.24074446957,254068.13992171333
13,255952.62,255952.62
14,182382.4007539489,255952.62
15,246131.2717048523,255952.62
16,210275.52115604017,255952.62
17,255385.34678870003,255952.62
18,181130.300699396,255952.62
19,188471.05916871328,255952.62
20,213422.1613914934,255952.62
21,202993.45115653984,255952.62
22,203005.66613783495,255952.62
23,255952.62,255952.62
24,201624.07974883285,255952.62
25,152755.88963210105,255952.62
26,242007.18487801965,255952.62
27,178366.94670936506,255952.62
28,175206.89241336077,255952.62
29,258538.0,258538.0
30,163669.66153856483,258538.0
31,191905.63757364536,258538.0
32,210925.69746621375,258538.0
33,248556.4888426601,258538.0
34,193419.04112005263,258538.0
35,225483.16746251186,258538.0
36,169333.04090692027,258538.0
37,243382.74751006818,258538.0
38,215561.09669297846,258538.0
39,207609.92309931244,258538.0
40,152195.61459509245,258538.0
41,244867.7058965402,258538.0
42,240122.435699822,258538.0
43,255952.62,258538.0
44,221729.03759784484,258538.0
45,223898.5774170391,258538.0
46,255398.6010878072,258538.0
47,214480.68046484614,258538.0
48,235289.5055883666,258538.0
49,179260.4997905303,258538.0
50,233256.13397407252,258538.0
51,239526.8520321112,258538.0
52,182652.3804678824,258538.0
53,205351.46371645562,258538.0
54,242771.0674114661,258538.0
55,255952.62,258538.0
56,161230.69864226755,258538.0
57,253614.94894188663,258538.0
58,157824.32379856004,258538.0
59,219577.80295056553,258538.0
60,221864.39705924946,258538.0
61,200271.24130802497,258538.0
62,235714.5331621831,258538.0
63,254638.0596352395,258538.0
64,181516.90212201362,258538.0
65,151652.9910552609,258538.0
66,205405.3624940439,258538.0
67,208121.61033566136,258538.0
68,167884.14849825096,258538.0
69,248637.81158846867,258538.0
70,158059.28325406287,258538.0
71,214839.32748078203,258538.0
72,201714.15054576457,258538.0
73,158268.3426400527,258538.0
74,157665.8280778553,258538.0
75,189975.1342134988,258538.0
76,181078.0057056719,258538.0
77,255614.1489243012,258538.0
78,177041.51528778265,258538.0
79,175478.6893836077,258538.0
80,208944.8768400495,258538.0
81,253903.9250230055,258538.0
82,250565.38536007164,258538.0
83,248413.2068279931,258538.0
84,234049.61624716187,258538.0
85,154594.26693799128,258538.0
86,254048.16361989034,258538.0
87,255952.62,258538.0
88,161948.8555072597,258538.0
89,189202.2050836733,258538.0
90,244294.66221828733,258538.0
91,160982.2955081939,258538.0
92,183080.83882547467,258538.0
93,161336.63840595435,258538.0
94,249496.37944007898,258538.0
95,174023.9124125808,258538.0
96,178652.5549339281,258538.0
97,201676.26862554054,258538.0
98,250658.5724849411,258538.0
99,178609.59533834038,258538.0
100,213511.40789682922,258538.0
101,255952.62,258538.0
102,171738.4306096083,258538.0
103,152521.20799629888,258538.0
104,251082.016270085,258538.0
105,247497.91824795207,258538.0
106,255952.62,258538.0
107,217109.7284750576,258538.0
108,229846.6814188123,258538.0
109,232419.93961540327,258538.0
110,167792.3429285235,258538.0
111,227108.13568677966,258538.0
112,222196.0653151925,258538.0
113,182091.2296962543,258538.0
114,227733.04565063072,258538.0
115,171312.96422206482,258538.0
116,228315.1625350918,258538.0
117,181146.06810478415,258538.0
118,251242.97893122444,258538.0
119,167472.37701635092,258538.0
120,164044.83573459697,258538.0
