x,y_random,y_max
1,209459.54863822722,209459.54863822722
2,214426.0738344231,214426.0738344231
3,183458.05652818718,214426.0738344231
4,229100.85,229100.85
5,229100.85,229100.85
6,211720.3483143869,229100.85
7,229100.85,229100.85
8,214650.33369108295,229100.85
9,219767.75893898134,229100.85
10,200256.2021618294,229100.85
11,173882.34058619683,229100.85
12,229100.85,229100.85
13,221456.1261968667,229100.85
14,229100.85,229100.85
15,171785.6804953855,229100.85
16,229100.85,229100.85
17,221338.11261690297,229100.85
18,229100.85,229100.85
19,181339.43412903344,229100.85
20,229100.85,229100.85
21,213655.18517635454,229100.85
22,196267.66043733282,229100.85
23,188244.81148152135,229100.85
24,229100.85,229100.85
25,229100.85,229100.85
26,229100.85,229100.85
27,163582.8723210455,229100.85
28,229066.05759931798,229100.85
29,157367.47082842354,229100.85
30,186325.92068360007,229100.85
31,229100.85,229100.85
32,192641.70402346895,229100.85
33,229100.85,229100.85
34,213136.69913127838,229100.85
35,184600.65434245078,229100.85
36,229100.85,229100.85
37,218508.6501948713,229100.85
38,184625.8785499245,229100.85
39,216177.88446538826,229100.85
40,229100.85,229100.85
41,207723.0135752054,229100.85
42,229100.85,229100.85
43,229100.85,229100.85
44,208612.7393213063,229100.85
45,170793.70519236466,229100.85
46,207297.85319390672,229100.85
47,190340.97040273703,229100.85
48,154950.49792742243,229100.85
49,202403.61751797082,229100.85
50,226832.93606403365,229100.85
51,229100.85,229100.85
52,229100.85,229100.85
53,179306.8701943796,229100.85
54,193195.3191299197,229100.85
55,220207.31955613304,229100.85
56,229100.85,229100.85
57,217735.20066398522,229100.85
58,229100.85,229100.85
59,189658.5427283042,229100.85
60,189023.58926096314,229100.85
61,170091.37462503818,229100.85
62,219114.68072460586,229100.85
63,225778.79351945594,229100.85
64,182470.1392402509,229100.85
65,229100.85,229100.85
66,220475.55069335268,229100.85
67,192025.24253725767,229100.85
68,231415.0,231415.0
69,186243.09259474758,231415.0
70,184112.34995113633,231415.0
71,229100.85,231415.0
72,210888.5996582997,231415.0
73,229100.85,231415.0
74,183930.2490533252,231415.0
75,223986.83257140138,231415.0
76,190703.15678476787,231415.0
77,206594.75195410484,231415.0
78,229100.85,231415.0
79,163359.5139794412,231415.0
80,229100.85,231415.0
81,205114.8908645435,231415.0
82,229100.85,231415.0
83,208091.05834777432,231415.0
84,192477.81320813717,231415.0
85,229100.85,231415.0
86,185525.01961029763,231415.0
87,207412.2810549916,231415.0
88,229100.85,231415.0
89,229100.85,231415.0
90,217899.89217493357,231415.0
91,157906.7124715423,231415.0
92,229100.85,231415.0
93,218838.66776644657,231415.0
94,229100.85,231415.0
95,229100.85,231415.0
96,190884.19077379658,231415.0
97,229100.85,231415.0
98,161601.8120945823,231415.0
99,155123.8241645491,231415.0
100,229100.85,231415.0
101,217267.3412206598,231415.0
102,229100.85,231415.0
103,225682.61003751165,231415.0
104,164920.0709283221,231415.0
105,160620.9303325488,231415.0
106,229100.85,231415.0
107,200595.6158863038,231415.0
108,210699.32962808767,231415.0
109,161808.7478943083,231415.0
110,190898.594637817,231415.0
111,183795.41942890608,231415.0
112,218162.09511377645,231415.0
113,229100.85,231415.0
114,201127.29322663194,231415.0
115,229100.85,231415.0
116,183456.4714542328,231415.0
117,161745.11267030553,231415.0
118,229100.85,231415.0
119,229100.85,231415.0
120,179939.2408880122,231415.0
